@relation markSix

@attribute A1 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}			
@attribute A2 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A3 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A4 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	
@attribute A7 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49}	

@data
5,10,16,22,30,37,14
1,2,3,8,40,46,18
2,4,13,18,22,45,25
1,3,9,10,36,42,47
6,13,18,21,25,39,5
3,5,10,18,22,43,12
4,9,16,25,36,46,12
6,15,22,29,36,40,35
2,4,8,19,36,37,44
5,9,23,27,28,42,22
1,11,14,27,30,32,38
14,15,16,28,30,44,33
7,10,11,14,16,21,17
3,7,10,15,37,38,42
1,27,32,35,37,41,5
12,19,31,35,41,43,4
17,30,32,38,39,42,4
10,11,19,28,37,38,34
3,16,18,22,38,45,5
12,20,27,31,38,40,47
7,8,17,26,39,45,22
31,34,37,42,44,45,35
14,25,31,35,42,46,45
6,24,25,35,39,47,43
2,15,16,22,28,36,14
14,15,17,37,40,45,39
6,10,17,25,28,34,9
3,13,19,35,37,46,39
1,3,10,14,33,45,30
1,12,17,19,22,34,15
6,23,26,34,35,42,27
5,10,16,19,20,30,34
3,14,18,26,28,41,23
1,4,7,9,17,18,40
8,10,18,26,42,45,14
3,15,16,19,32,33,26
3,17,22,29,34,38,14
12,18,24,30,34,35,20
19,31,35,37,38,42,18
2,4,5,27,29,40,9
3,8,28,32,42,43,41
2,9,22,26,30,36,38
16,21,24,32,37,45,29
12,16,27,33,34,37,43
6,24,28,31,38,45,13
1,15,27,34,42,46,33
9,10,14,30,32,41,37
5,8,19,28,32,33,44
6,9,14,15,31,47,42
1,27,37,43,44,47,22
2,7,18,29,42,45,10
2,6,14,26,33,42,40
6,9,28,30,42,47,35
7,15,23,26,29,34,18
2,4,14,32,34,41,5
14,23,25,29,35,41,8
14,16,24,25,35,38,29
7,13,21,27,35,41,38
